search_term,name,category,size,pack,unit_price,case_price,url
curry powder,Roseli Curly Wide Egg Noodles,"EGG NOODLES, DRY",5 LB,2,12.19,22.99,https://www.chefstore.com/p/roseli-curly-wide-egg-noodles_6328678/
curry powder,The Zenith Specialty Bag Co. White Dry Wax Hot Dog Bags 3x1.75x10,"BAGS, PAPER-GROCERY, CARRY-OUT, SHOPPING",2000 EA,1,39.29,,https://www.chefstore.com/p/the-zenith-specialty-bag-co-white-dry-wax-hot-dog-bags-3x175x10_1613652/
cumin,Mccormick Cumin Ground,SPICES,14 OZ,1,14.09,,https://www.chefstore.com/p/mccormick-cumin-ground_1011136/
cumin,Monarch Ground Cumin,SPICES,88 OZ,3,46.59,139.59,https://www.chefstore.com/p/monarch-ground-cumin_8602175/
cumin,Monarch Ground Cumin Seed,SPICES,10 OZ,4,6.49,25.79,https://www.chefstore.com/p/monarch-ground-cumin-seed_8674324/
cumin,Mccormick Whole Cumin Seed,SPICES,16 OZ,1,25.19,,https://www.chefstore.com/p/mccormick-whole-cumin-seed_1011092/
cumin,Rosarita Culinary Traditional Refried Beans,"BEANS, REFRIED, CANNED",30 OZ,12,3.89,44.09,https://www.chefstore.com/p/rosarita-culinary-traditional-refried-beans_4281366/
cumin,Rosarita Culinary Vegetarian Refried Beans,"BEANS, REFRIED, CANNED",#10 CN,6,9.79,55.29,https://www.chefstore.com/p/rosarita-culinary-vegetarian-refried-beans_7020696/
vegan mozzarella,Vevan Mozzarella Melts Slices,"CHEESE, IMITATION/SUBSTITUTE, SLICES",1.5 LB,8,8.79,65.49,https://www.chefstore.com/p/vevan-mozzarella-melts-slices_9192627/
vegan cheese,Vevan Vegan Cheddar Melts 32 Slices,"CHEESE, IMITATION/SUBSTITUTE, SLICES",1.5 LB,8,8.79,65.49,https://www.chefstore.com/p/vevan-vegan-cheddar-melts-32-slices_2208402/
vegan cheese,Vevan Mozzarella Melts Slices,"CHEESE, IMITATION/SUBSTITUTE, SLICES",1.5 LB,8,8.79,65.49,https://www.chefstore.com/p/vevan-mozzarella-melts-slices_9192627/
